name,cuisines,area,timing,ishomedelivery,istakeaway,isindoorseating,isvegonly,dinner_ratings,dinner_reviews,delivery_ratings,delivery_reviews,populardishes,peopleknownfor,averagecost
Sri Udupi Park,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake","Indiranagar, Bangalore",7am â 11pm (Today),1,1,1,1,4.0,462,4.1,16000,"Filtered Coffee, Sambhar, Pav Bhaji, Gobi Manchurian","Economical, Prompt Service, Hygiene, Quality Food, Reasonable Price, Quick Service",450
Meghana Foods,"Biryani, Andhra, North Indian, Seafood","Indiranagar, Bangalore",Opens at 6:30pm,1,1,1,0,4.3,1654,4.3,28600,"Authentic Hyderabadi Biryani, Paneer Biryani, Panner Tikka, Chicken 65, Lemon Chicken, Mutton Biriyani","Boneless Chicken Biryani, Ample Seating Area, Serving Size, Family Place, Relaxed Atmosphere, Delivery Person",700
Donne Biriyani House,Biryani,"Indiranagar, Bangalore",11am â 11pm (Today),1,1,1,0,3.9,411,3.5,33200,Not Specified,"Great Recommendations, Nice Taste, Great Ambiance, Good Quantity, Excellent Food, Nice Food",300
Domino's Pizza,"Pizza, Fast Food, Desserts","Indiranagar, Bangalore",10:57am â 12midnight (Today),1,1,1,0,2.4,422,4.4,8205,"Barbeque Chicken Pizza, Choco Lava Cake, White Sauce Pasta, Pizzas","Value for Money, Packaging, Staff, Ambience, Food",400
KFC,"Burger, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am â 11pm (Today),1,1,1,0,2.8,673,4.0,9148,"Fiery Chicken, Chicken Popcorn, Rice Bowl, Wings","Elegantly Decorated, Great Recommendations, View, Location, Good Taste, Worth the Money",400
The Congee Concept,South Indian,"Ulsoor, Bangalore",Timing Not Available,1,0,0,0,-,0,4.5,239,Not Specified,"Fresh Food with Good Quality, Worth the Money, Great Portions, Timely Service, Delicious Food",100
Burger King,"Burger, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",9am â 2am (Today),1,1,1,0,4.1,1499,4.1,22400,"Crispy Spicy Chicken, Chilly Burger, Thick Mango Shake, Strawberry Sundae, Mutton Patty, Whooper Burger","Bang for the Buck, Cozy Ambiance, Nice Crowd, Low Price, Comfortable Seating, Good Atmosphere",400
McDonald's,"Burger, Beverages, Fast Food, Desserts","Indiranagar, Bangalore",9:30am â 1:30am (Today),1,1,1,0,3.8,500,4.1,7508,"Mcspicy Chicken, Mcspicy Paneer, Maharaja Mac, Peri Peri Fries, Burgers, Coffee","Casual Seating Area, Hygiene, Location, Friendly Staff, Spicy, Good Place",400
Mani's Dum Biryani,"Biryani, Kebab","Jeevan Bhima Nagar, Bangalore",11am â 11:45pm (Today),1,1,1,0,4.2,708,4.1,12700,"Paneer Fry, Chicken 65, Egg Biryani, Mutton Biryani, Starter","Serving Size, Family Place, Decent Ambience, Good Quantity, Decent Place, Portion",800
Madras Meal Company,South Indian,"Thippasandra, Bangalore",Timing Not Available,1,0,0,0,-,0,4.0,2958,"Tamilnadu Style, South Indian Meals, Gulab Jamun, Raita, Kabab, Chicken Biryani","Good Packaging, Excellent Food, Spill Proof Packaging, Good Taste, Reasonable Price, Packing",150
ZAZA 22 Spice Biryani,"Biryani, Mughlai, North Indian","Indiranagar, Bangalore",Timing Not Available,1,0,0,0,-,0,3.8,447,Not Specified,Not Specified,200
New Alameen Restaurant,"Kerala, North Indian, Chinese","Ulsoor, Bangalore",9am â 1am (Today),1,1,1,0,3.7,226,3.7,9101,Not Specified,"Value for Price, Customizations Available, Chirpy Crowd, Bang for the Buck, Nice Delivery, Good Portions",300
Ovenstory Pizza,"Pizza, Desserts","Indiranagar, Bangalore",Timing Not Available,1,0,0,0,-,0,4.3,3902,Not Specified,Not Specified,250
Biryani Trip,"Hyderabadi, Biryani","Indiranagar, Bangalore",Timing Not Available,1,0,0,0,-,0,4.0,70,Not Specified,Not Specified,250
FreshMenu,"Continental, North Indian, Biryani","Indiranagar, Bangalore",Timing Not Available,1,0,0,0,-,0,3.7,29100,"Chicken Honey, Chicken Salad, Spaghetti, Salads, Chocolate Cake, Hot Chocolate","Prompt Delivery, New Menu, Fresh, Good Packaging, Quick Delivery, Healthy Food",200
